Year,StateCode,MSN,Data,Unit
2025,AZ,CLTCB,688491.8092321604,Billion Btu
2050,AZ,CLTCB,964936.6737581864,Billion Btu
2025,AZ,BMTCB,30255.287255125004,Billion Btu
2050,AZ,BMTCB,40851.97252544924,Billion Btu
2025,AZ,GETCB,440.22418959471906,Billion Btu
2050,AZ,GETCB,643.1280305791115,Billion Btu
2025,AZ,NGTCB,293528.6902192468,Billion Btu
2050,AZ,NGTCB,354958.3903052006,Billion Btu
2025,AZ,PMTCB,711746.4635772854,Billion Btu
2050,AZ,PMTCB,937608.5192101784,Billion Btu
2025,AZ,SOTCB,5821.931277282594,Billion Btu
2050,AZ,SOTCB,8470.629444617516,Billion Btu
2025,AZ,NUETB,472573.51754654944,Billion Btu
2050,AZ,NUETB,686576.8812107146,Billion Btu
2025,AZ,WYEGB,33.24611952941177,Billion Btu
2050,AZ,WYEGB,50.208425411764665,Billion Btu
2025,AZ,HYEGB,107878.2256343991,Billion Btu
2050,AZ,HYEGB,126652.10638094158,Billion Btu
2025,CA,CLTCB,81300.42117921484,Billion Btu
2050,CA,CLTCB,92515.6599328043,Billion Btu
2025,CA,BMTCB,265962.0872614002,Billion Btu
2050,CA,BMTCB,333377.88383399416,Billion Btu
2025,CA,GETCB,225601.46553064324,Billion Btu
2050,CA,GETCB,317177.201365361,Billion Btu
2025,CA,NGTCB,2641830.320427466,Billion Btu
2050,CA,NGTCB,3005580.403308619,Billion Btu
2025,CA,PMTCB,4518010.241945498,Billion Btu
2050,CA,PMTCB,5387112.805739023,Billion Btu
2025,CA,SOTCB,39373.593672985444,Billion Btu
2050,CA,SOTCB,57394.763760260306,Billion Btu
2025,CA,NUETB,584283.2159822211,Billion Btu
2050,CA,NUETB,828888.7705091462,Billion Btu
2025,CA,WYEGB,64042.66196449939,Billion Btu
2050,CA,WYEGB,93905.8087923387,Billion Btu
2025,CA,HYEGB,396039.68331357045,Billion Btu
2050,CA,HYEGB,428247.9246663917,Billion Btu
2025,NM,CLTCB,473311.9777432252,Billion Btu
2050,NM,CLTCB,643802.5073765758,Billion Btu
2025,NM,BMTCB,10950.449854262639,Billion Btu
2050,NM,BMTCB,13376.193919856887,Billion Btu
2025,NM,GETCB,719.7928314545024,Billion Btu
2050,NM,GETCB,1062.7221476609848,Billion Btu
2025,NM,NGTCB,214222.60980050894,Billion Btu
2050,NM,NGTCB,201705.5107329219,Billion Btu
2025,NM,PMTCB,321040.5807997463,Billion Btu
2050,NM,PMTCB,395789.74368353933,Billion Btu
2025,NM,SOTCB,641.8122612581028,Billion Btu
2050,NM,SOTCB,923.1547004297718,Billion Btu
2025,NM,NUETB,0.0,Billion Btu
2050,NM,NUETB,0.0,Billion Btu
2025,NM,WYEGB,7772.633388029295,Billion Btu
2050,NM,WYEGB,11675.860473479435,Billion Btu
2025,NM,HYEGB,3585.2022394372034,Billion Btu
2050,NM,HYEGB,4923.449933410797,Billion Btu
2025,TX,CLTCB,2587461.9474993646,Billion Btu
2050,TX,CLTCB,3653449.31968984,Billion Btu
2025,TX,BMTCB,148731.6043620119,Billion Btu
2050,TX,BMTCB,192158.90813522926,Billion Btu
2025,TX,GETCB,1419.606054448981,Billion Btu
2050,TX,GETCB,2104.267360775513,Billion Btu
2025,TX,NGTCB,4256992.385357503,Billion Btu
2050,TX,NGTCB,4507797.082368307,Billion Btu
2025,TX,PMTCB,7729985.1775511205,Billion Btu
2050,TX,PMTCB,10057513.547570318,Billion Btu
2025,TX,SOTCB,908.4868029920763,Billion Btu
2050,TX,SOTCB,1330.0228444686654,Billion Btu
2025,TX,NUETB,589664.3269640803,Billion Btu
2050,TX,NUETB,864801.0467679575,Billion Btu
2025,TX,WYEGB,70670.04852286447,Billion Btu
2050,TX,WYEGB,106136.34009623807,Billion Btu
2025,TX,HYEGB,16226.462241217261,Billion Btu
2050,TX,HYEGB,18270.449883450172,Billion Btu
