,Year,StateCode,MSN,Data,Unit
4720,1960,AZ,BMTCB,4012.94849,Billion Btu
4721,1961,AZ,BMTCB,3836.9629,Billion Btu
4722,1962,AZ,BMTCB,3672.12878,Billion Btu
4723,1963,AZ,BMTCB,4027.53031,Billion Btu
4724,1964,AZ,BMTCB,4089.10173,Billion Btu
4725,1965,AZ,BMTCB,3695.21696,Billion Btu
4726,1966,AZ,BMTCB,3679.36818,Billion Btu
4727,1967,AZ,BMTCB,4180.13105,Billion Btu
4728,1968,AZ,BMTCB,4147.20373,Billion Btu
4729,1969,AZ,BMTCB,4389.1241,Billion Btu
4730,1970,AZ,BMTCB,4339.3804,Billion Btu
4731,1971,AZ,BMTCB,4526.40288,Billion Btu
4732,1972,AZ,BMTCB,4782.42417,Billion Btu
4733,1973,AZ,BMTCB,4574.10469,Billion Btu
4734,1974,AZ,BMTCB,4782.71253,Billion Btu
4735,1975,AZ,BMTCB,5413.77876,Billion Btu
4736,1976,AZ,BMTCB,5816.28547,Billion Btu
4737,1977,AZ,BMTCB,6838.2955,Billion Btu
4738,1978,AZ,BMTCB,7128.91807,Billion Btu
4739,1979,AZ,BMTCB,8291.19153,Billion Btu
4740,1980,AZ,BMTCB,17835.00581,Billion Btu
4741,1981,AZ,BMTCB,21468.86588,Billion Btu
4742,1982,AZ,BMTCB,21634.73747,Billion Btu
4743,1983,AZ,BMTCB,23643.69664,Billion Btu
4744,1984,AZ,BMTCB,25139.34211,Billion Btu
4745,1985,AZ,BMTCB,25557.79475,Billion Btu
4746,1986,AZ,BMTCB,24042.52306,Billion Btu
4747,1987,AZ,BMTCB,17521.24706,Billion Btu
4748,1988,AZ,BMTCB,18364.61939,Billion Btu
4749,1989,AZ,BMTCB,15620.34064,Billion Btu
4750,1990,AZ,BMTCB,13740.58609,Billion Btu
4751,1991,AZ,BMTCB,14585.36246,Billion Btu
4752,1992,AZ,BMTCB,15094.93557,Billion Btu
4753,1993,AZ,BMTCB,13870.681,Billion Btu
4754,1994,AZ,BMTCB,14181.80795,Billion Btu
4755,1995,AZ,BMTCB,16653.19869,Billion Btu
4756,1996,AZ,BMTCB,14707.18648,Billion Btu
4757,1997,AZ,BMTCB,16422.29317,Billion Btu
4758,1998,AZ,BMTCB,12302.80131,Billion Btu
4759,1999,AZ,BMTCB,12719.41704,Billion Btu
4760,2000,AZ,BMTCB,13603.41768,Billion Btu
4761,2001,AZ,BMTCB,10376.76406,Billion Btu
4762,2002,AZ,BMTCB,9299.13173,Billion Btu
4763,2003,AZ,BMTCB,9556.87134,Billion Btu
4764,2004,AZ,BMTCB,9671.23441,Billion Btu
4765,2005,AZ,BMTCB,25121.70525,Billion Btu
4766,2006,AZ,BMTCB,25182.79468,Billion Btu
4767,2007,AZ,BMTCB,29070.01911,Billion Btu
4768,2008,AZ,BMTCB,35808.45171,Billion Btu
4769,2009,AZ,BMTCB,35412.81309,Billion Btu
4770,1960,CA,BMTCB,82097.53052,Billion Btu
4771,1961,CA,BMTCB,83506.10889,Billion Btu
4772,1962,CA,BMTCB,86897.65269,Billion Btu
4773,1963,CA,BMTCB,93021.63734,Billion Btu
4774,1964,CA,BMTCB,98436.28025,Billion Btu
4775,1965,CA,BMTCB,97487.844,Billion Btu
4776,1966,CA,BMTCB,100672.5268,Billion Btu
4777,1967,CA,BMTCB,101884.788,Billion Btu
4778,1968,CA,BMTCB,110273.6937,Billion Btu
4779,1969,CA,BMTCB,116252.6616,Billion Btu
4780,1970,CA,BMTCB,116838.7983,Billion Btu
4781,1971,CA,BMTCB,119221.2029,Billion Btu
4782,1972,CA,BMTCB,127646.2927,Billion Btu
4783,1973,CA,BMTCB,130121.5861,Billion Btu
4784,1974,CA,BMTCB,134722.965,Billion Btu
4785,1975,CA,BMTCB,127489.4036,Billion Btu
4786,1976,CA,BMTCB,144760.1441,Billion Btu
4787,1977,CA,BMTCB,151984.1311,Billion Btu
4788,1978,CA,BMTCB,160260.9648,Billion Btu
4789,1979,CA,BMTCB,168373.4001,Billion Btu
4790,1980,CA,BMTCB,115610.0496,Billion Btu
4791,1981,CA,BMTCB,133092.2834,Billion Btu
4792,1982,CA,BMTCB,127115.6374,Billion Btu
4793,1983,CA,BMTCB,148645.7369,Billion Btu
4794,1984,CA,BMTCB,165872.8768,Billion Btu
4795,1985,CA,BMTCB,167092.6847,Billion Btu
4796,1986,CA,BMTCB,129118.2461,Billion Btu
4797,1987,CA,BMTCB,157927.9222,Billion Btu
4798,1988,CA,BMTCB,169037.8868,Billion Btu
4799,1989,CA,BMTCB,235905.2314,Billion Btu
4800,1990,CA,BMTCB,222588.6624,Billion Btu
4801,1991,CA,BMTCB,219223.9471,Billion Btu
4802,1992,CA,BMTCB,226570.6544,Billion Btu
