,Year,StateCode,MSN,ratio,Description
0,1960,AZ,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
1,1960,AZ,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
2,1960,AZ,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
3,1960,AZ,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
4,1960,CA,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
5,1960,CA,NUEGB,0.0002725988822222203,Electricity produced from nuclear power by the electric power sector.
6,1960,CA,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
7,1960,CA,HYEGB,99.99972740111778,Hydroelectricity produced by the electric power sector.
8,1960,NM,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
9,1960,NM,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
10,1960,NM,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
11,1960,NM,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
12,1960,TX,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
13,1960,TX,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
14,1960,TX,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
15,1960,TX,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
16,1970,AZ,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
17,1970,AZ,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
18,1970,AZ,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
19,1970,AZ,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
20,1970,CA,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
21,1970,CA,NUEGB,7.920534454869088,Electricity produced from nuclear power by the electric power sector.
22,1970,CA,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
23,1970,CA,HYEGB,92.07946554513092,Hydroelectricity produced by the electric power sector.
24,1970,NM,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
25,1970,NM,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
26,1970,NM,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
27,1970,NM,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
28,1970,TX,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
29,1970,TX,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
30,1970,TX,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
31,1970,TX,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
32,1980,AZ,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
33,1980,AZ,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
34,1980,AZ,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
35,1980,AZ,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
36,1980,CA,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
37,1980,CA,NUEGB,11.243833606622236,Electricity produced from nuclear power by the electric power sector.
38,1980,CA,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
39,1980,CA,HYEGB,88.75616639337777,Hydroelectricity produced by the electric power sector.
40,1980,NM,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
41,1980,NM,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
42,1980,NM,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
43,1980,NM,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
44,1980,TX,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
45,1980,TX,NUEGB,0.0,Electricity produced from nuclear power by the electric power sector.
46,1980,TX,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
47,1980,TX,HYEGB,100.0,Hydroelectricity produced by the electric power sector.
48,1990,AZ,WYEGB,0.0,Electricity produced from wind energy by the electric power sector.
49,1990,AZ,NUEGB,73.85571774643635,Electricity produced from nuclear power by the electric power sector.
50,1990,AZ,SOEGB,0.0,Electricity produced from photovoltaic and solar thermal energy by the electric power sector.
