,Year,StateCode,MSN,Data,Unit
4720,1960,AZ,BMTCB,4012.94849,Billion Btu
4725,1965,AZ,BMTCB,3695.21696,Billion Btu
4730,1970,AZ,BMTCB,4339.3804,Billion Btu
4735,1975,AZ,BMTCB,5413.77876,Billion Btu
4740,1980,AZ,BMTCB,17835.00581,Billion Btu
4745,1985,AZ,BMTCB,25557.79475,Billion Btu
4750,1990,AZ,BMTCB,13740.58609,Billion Btu
4755,1995,AZ,BMTCB,16653.19869,Billion Btu
4760,2000,AZ,BMTCB,13603.41768,Billion Btu
4765,2005,AZ,BMTCB,25121.70525,Billion Btu
4769,2009,AZ,BMTCB,35412.81309,Billion Btu
4770,1960,CA,BMTCB,82097.53052,Billion Btu
4775,1965,CA,BMTCB,97487.844,Billion Btu
4780,1970,CA,BMTCB,116838.7983,Billion Btu
4785,1975,CA,BMTCB,127489.4036,Billion Btu
4790,1980,CA,BMTCB,115610.0496,Billion Btu
4795,1985,CA,BMTCB,167092.6847,Billion Btu
4800,1990,CA,BMTCB,222588.6624,Billion Btu
4805,1995,CA,BMTCB,181976.7564,Billion Btu
4810,2000,CA,BMTCB,164988.6785,Billion Btu
4815,2005,CA,BMTCB,225495.2407,Billion Btu
4819,2009,CA,BMTCB,224662.5224,Billion Btu
4820,1960,NM,BMTCB,6627.60303,Billion Btu
4825,1965,NM,BMTCB,5626.92142,Billion Btu
4830,1970,NM,BMTCB,4857.5794,Billion Btu
4835,1975,NM,BMTCB,5342.7819,Billion Btu
4840,1980,NM,BMTCB,5245.14218,Billion Btu
4845,1985,NM,BMTCB,9184.80922,Billion Btu
4850,1990,NM,BMTCB,5892.26845,Billion Btu
4855,1995,NM,BMTCB,6322.92408,Billion Btu
4860,2000,NM,BMTCB,7323.19479,Billion Btu
4865,2005,NM,BMTCB,13020.14274,Billion Btu
4869,2009,NM,BMTCB,17295.22312,Billion Btu
4870,1960,TX,BMTCB,38296.32121,Billion Btu
4875,1965,TX,BMTCB,41195.86221,Billion Btu
4880,1970,TX,BMTCB,52206.96065,Billion Btu
4885,1975,TX,BMTCB,55819.63573,Billion Btu
4890,1980,TX,BMTCB,55647.5248,Billion Btu
4895,1985,TX,BMTCB,81665.57669,Billion Btu
4900,1990,TX,BMTCB,98023.52176,Billion Btu
4905,1995,TX,BMTCB,103692.7819,Billion Btu
