,Year,StateCode,MSN,Data,Unit
34212,1960,AZ,HYEGB,32168.50488,Billion Btu
34217,1965,AZ,HYEGB,46399.81125,Billion Btu
34222,1970,AZ,HYEGB,64439.24652,Billion Btu
34227,1975,AZ,HYEGB,75334.5908,Billion Btu
34232,1980,AZ,HYEGB,102013.5153,Billion Btu
34237,1985,AZ,HYEGB,145963.8229,Billion Btu
34242,1990,AZ,HYEGB,77157.62555,Billion Btu
34247,1995,AZ,HYEGB,85470.17673,Billion Btu
34252,2000,AZ,HYEGB,85221.35742,Billion Btu
34257,2005,AZ,HYEGB,64094.23194,Billion Btu
34261,2009,AZ,HYEGB,62730.8872,Billion Btu
34262,1960,CA,HYEGB,187703.853,Billion Btu
34267,1965,CA,HYEGB,319051.8179,Billion Btu
34272,1970,CA,HYEGB,399627.9851,Billion Btu
34277,1975,CA,HYEGB,417308.8107,Billion Btu
34282,1980,CA,HYEGB,423618.4329,Billion Btu
34287,1985,CA,HYEGB,331348.1572,Billion Btu
34292,1990,CA,HYEGB,247413.0471,Billion Btu
34297,1995,CA,HYEGB,495276.7701,Billion Btu
34302,2000,CA,HYEGB,390961.0574,Billion Btu
34307,2005,CA,HYEGB,396224.7832,Billion Btu
34311,2009,CA,HYEGB,272184.017,Billion Btu
34312,1960,NM,HYEGB,745.4528,Billion Btu
34317,1965,NM,HYEGB,447.98422,Billion Btu
34322,1970,NM,HYEGB,690.03297,Billion Btu
34327,1975,NM,HYEGB,659.5635,Billion Btu
34332,1980,NM,HYEGB,977.49002,Billion Btu
34337,1985,NM,HYEGB,1336.18175,Billion Btu
34342,1990,NM,HYEGB,2136.93487,Billion Btu
34347,1995,NM,HYEGB,2721.54304,Billion Btu
34352,2000,NM,HYEGB,2255.97155,Billion Btu
34357,2005,NM,HYEGB,1649.76501,Billion Btu
34361,2009,NM,HYEGB,2644.59888,Billion Btu
34362,1960,TX,HYEGB,11858.66056,Billion Btu
34367,1965,TX,HYEGB,7770.917,Billion Btu
34372,1970,TX,HYEGB,10549.85956,Billion Btu
34377,1975,TX,HYEGB,19997.35588,Billion Btu
34382,1980,TX,HYEGB,10171.1505,Billion Btu
34387,1985,TX,HYEGB,14635.59929,Billion Btu
34392,1990,TX,HYEGB,18657.28725,Billion Btu
34397,1995,TX,HYEGB,17564.92458,Billion Btu
34402,2000,TX,HYEGB,8456.25156,Billion Btu
34407,2005,TX,HYEGB,13324.26754,Billion Btu
34411,2009,TX,HYEGB,10039.69525,Billion Btu
66172,1960,AZ,NUEGB,0.0,Billion Btu
66177,1965,AZ,NUEGB,0.0,Billion Btu
66182,1970,AZ,NUEGB,0.0,Billion Btu
66187,1975,AZ,NUEGB,0.0,Billion Btu
66192,1980,AZ,NUEGB,0.0,Billion Btu
66197,1985,AZ,NUEGB,12004.66574,Billion Btu
66202,1990,AZ,NUEGB,217964.745,Billion Btu
66207,1995,AZ,NUEGB,283526.2151,Billion Btu
66212,2000,AZ,NUEGB,316838.975,Billion Btu
66217,2005,AZ,NUEGB,269326.5065,Billion Btu
66221,2009,AZ,NUEGB,320722.9615,Billion Btu
66222,1960,CA,NUEGB,0.51168,Billion Btu
66227,1965,CA,NUEGB,3192.78133,Billion Btu
66232,1970,CA,NUEGB,34375.38659,Billion Btu
66237,1975,CA,NUEGB,66855.44071,Billion Btu
66242,1980,CA,NUEGB,53664.94933,Billion Btu
66247,1985,CA,NUEGB,209564.9433,Billion Btu
66252,1990,CA,NUEGB,345955.2837,Billion Btu
66257,1995,CA,NUEGB,317794.0496,Billion Btu
66262,2000,CA,NUEGB,366845.3417,Billion Btu
66267,2005,CA,NUEGB,377312.5155,Billion Btu
66271,2009,CA,NUEGB,332249.3898,Billion Btu
66272,1960,NM,NUEGB,0.0,Billion Btu
66277,1965,NM,NUEGB,0.0,Billion Btu
66282,1970,NM,NUEGB,0.0,Billion Btu
66287,1975,NM,NUEGB,0.0,Billion Btu
66292,1980,NM,NUEGB,0.0,Billion Btu
66297,1985,NM,NUEGB,0.0,Billion Btu
66302,1990,NM,NUEGB,0.0,Billion Btu
66307,1995,NM,NUEGB,0.0,Billion Btu
66312,2000,NM,NUEGB,0.0,Billion Btu
66317,2005,NM,NUEGB,0.0,Billion Btu
66321,2009,NM,NUEGB,0.0,Billion Btu
66322,1960,TX,NUEGB,0.0,Billion Btu
66327,1965,TX,NUEGB,0.0,Billion Btu
66332,1970,TX,NUEGB,0.0,Billion Btu
66337,1975,TX,NUEGB,0.0,Billion Btu
66342,1980,TX,NUEGB,0.0,Billion Btu
66347,1985,TX,NUEGB,0.0,Billion Btu
66352,1990,TX,NUEGB,167822.6682,Billion Btu
66357,1995,TX,NUEGB,379841.9718,Billion Btu
66362,2000,TX,NUEGB,391669.5112,Billion Btu
66367,2005,TX,NUEGB,398994.297,Billion Btu
66371,2009,TX,NUEGB,434065.0738,Billion Btu
90972,1960,AZ,SOEGB,0.0,Billion Btu
90977,1965,AZ,SOEGB,0.0,Billion Btu
90982,1970,AZ,SOEGB,0.0,Billion Btu
90987,1975,AZ,SOEGB,0.0,Billion Btu
90992,1980,AZ,SOEGB,0.0,Billion Btu
90997,1985,AZ,SOEGB,0.0,Billion Btu
91002,1990,AZ,SOEGB,0.0,Billion Btu
91007,1995,AZ,SOEGB,0.0,Billion Btu
91012,2000,AZ,SOEGB,0.0,Billion Btu
91017,2005,AZ,SOEGB,135.79642,Billion Btu
91021,2009,AZ,SOEGB,138.0552,Billion Btu
91022,1960,CA,SOEGB,0.0,Billion Btu
91027,1965,CA,SOEGB,0.0,Billion Btu
91032,1970,CA,SOEGB,0.0,Billion Btu
91037,1975,CA,SOEGB,0.0,Billion Btu
91042,1980,CA,SOEGB,0.0,Billion Btu
91047,1985,CA,SOEGB,111.05328,Billion Btu
91052,1990,CA,SOEGB,3814.08054,Billion Btu
91057,1995,CA,SOEGB,5120.57828,Billion Btu
91062,2000,CA,SOEGB,5032.50013,Billion Btu
91067,2005,CA,SOEGB,5366.59669,Billion Btu
91071,2009,CA,SOEGB,6318.52211,Billion Btu
91072,1960,NM,SOEGB,0.0,Billion Btu
91077,1965,NM,SOEGB,0.0,Billion Btu
91082,1970,NM,SOEGB,0.0,Billion Btu
91087,1975,NM,SOEGB,0.0,Billion Btu
91092,1980,NM,SOEGB,0.0,Billion Btu
91097,1985,NM,SOEGB,0.0,Billion Btu
91102,1990,NM,SOEGB,0.0,Billion Btu
91107,1995,NM,SOEGB,0.0,Billion Btu
91112,2000,NM,SOEGB,0.0,Billion Btu
91117,2005,NM,SOEGB,0.0,Billion Btu
91121,2009,NM,SOEGB,0.0,Billion Btu
91122,1960,TX,SOEGB,0.0,Billion Btu
91127,1965,TX,SOEGB,0.0,Billion Btu
91132,1970,TX,SOEGB,0.0,Billion Btu
91137,1975,TX,SOEGB,0.0,Billion Btu
91142,1980,TX,SOEGB,0.0,Billion Btu
91147,1985,TX,SOEGB,0.0,Billion Btu
91152,1990,TX,SOEGB,4.00477,Billion Btu
91157,1995,TX,SOEGB,2.60894,Billion Btu
91162,2000,TX,SOEGB,0.41824,Billion Btu
