,Year,StateCode,MSN,Data,Unit
0,2025,AZ,RETCB,144424.16227666568,Billion Btu
1,2050,AZ,RETCB,176625.77181263175,Billion Btu
2,2025,AZ,NUETB,472573.51754654944,Billion Btu
3,2050,AZ,NUETB,686576.8812107146,Billion Btu
4,2025,AZ,TETCB,1914283.4616375342,Billion Btu
5,2050,AZ,TETCB,2552679.817369342,Billion Btu
6,2025,CA,RETCB,991103.7979846597,Billion Btu
7,2050,CA,RETCB,1230225.1509529687,Billion Btu
8,2025,CA,NUETB,584283.2159822211,Billion Btu
9,2050,CA,NUETB,828888.7705091462,Billion Btu
10,2025,CA,TETCB,10280281.582745165,Billion Btu
11,2050,CA,TETCB,12579035.761328578,Billion Btu
12,2025,NM,RETCB,23669.89057494735,Billion Btu
13,2050,NM,RETCB,31961.38117565564,Billion Btu
14,2025,NM,NUETB,0.0,Billion Btu
15,2050,NM,NUETB,0.0,Billion Btu
16,2025,NM,TETCB,820461.3163368013,Billion Btu
17,2050,NM,TETCB,1002081.5682237167,Billion Btu
18,2025,TX,RETCB,237954.06574750133,Billion Btu
19,2050,TX,RETCB,319994.49827312026,Billion Btu
20,2025,TX,NUETB,589664.3269640803,Billion Btu
21,2050,TX,NUETB,864801.0467679575,Billion Btu
22,2025,TX,TETCB,15494490.728526652,Billion Btu
23,2050,TX,TETCB,19546366.666555464,Billion Btu
